page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Akita,Female,10-25-2017 (3 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,10-18-2017 (4 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-23-2017 (7 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,08-19-2017 (12 Weeks),No,No,$1200 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,11-11-2016 (12 Months),No,No,$400 USD Buyer tips,Worldwide,
Akita,Male,08-27-2017 (11 Weeks),No,No,$900 USD Buyer tips,Worldwide,
Akita,Female,10-23-2017 (3 Weeks),Yes,No,$1200 USD Buyer tips,United States,Registered/registerable
Akita,Female,04-21-2017 (6 Months),Yes,Yes,$2300 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-19-2017 (4 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Health guarantee, Pedigree"
Akita,Female,04-11-2014 (3 Years),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Akita,Male,09-25-2017 (7 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Male,07-27-2017 (16 Weeks),Yes,No,$600 USD Buyer tips,Not available,Registered/registerable
Akita,Female,08-21-2017 (12 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-04-2017 (6 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,08-19-2017 (12 Weeks),Yes,No,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Male,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Akita,Female,05-08-2017 (6 Months),Yes,Yes,$2800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Male,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,N/A,10-14-2017 (4 Weeks),No,No,$1550 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Female,10-14-2017 (4 Weeks),No,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Female,10-20-2017 (3 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination"
Akita,Female,09-14-2017 (9 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Female,10-23-2017 (3 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,Registered/registerable
Akita,Male,10-25-2017 (3 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,11-11-2016 (12 Months),No,No,$400 USD Buyer tips,Worldwide,
Akita,Female,10-18-2017 (4 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee"
Akita,Female,09-20-2017 (8 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Akita,Male,09-30-2017 (6 Weeks),Yes,Yes,$1700 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,06-19-2016 (16 Months),Yes,Yes,$5000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,08-10-2017 (14 Weeks),No,No,$150 USD Buyer tips,Worldwide,
Akita,Female,09-22-2017 (7 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,10-20-2017 (3 Weeks),Yes,No,$900 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination"
Akita,Female,06-18-2016 (16 Months),Yes,Yes,‰âÂ2000 EUR Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,10-16-2017 (4 Weeks),No,No,$650 USD Buyer tips,Not available,"Registered/registerable, Pedigree"
Akita,Female,10-07-2017 (5 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,08-19-2017 (12 Weeks),Yes,No,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Male,11-07-2017 (9 Days),Yes,Yes,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-15-2017 (4 Weeks),Yes,No,$1500 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Travel crate"
Akita,Female,09-10-2017 (9 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Male,09-06-2017 (10 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Akita,Male,09-23-2017 (7 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,09-12-2017 (9 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Male,09-24-2017 (7 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Female,10-15-2017 (4 Weeks),Yes,No,$1500 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Travel crate"
Akita,Male,10-01-2017 (6 Weeks),Yes,Yes,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Female,03-08-2017 (8 Months),Yes,Yes,‰âÂ1500 EUR Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Female,04-21-2017 (6 Months),Yes,Yes,$2300 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-18-2017 (4 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-12-2017 (9 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,09-03-2014 (3 Years),No,No,$1400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,09-12-2017 (9 Weeks),No,No,$750 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate"
Akita,Female,10-22-2017 (3 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Male,10-20-2017 (3 Weeks),Yes,No,$900 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination"
