page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Bernese Mountain Dog,Male,09-11-2017 (9 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Bernese Mountain Dog,Male,05-17-2017 (6 Months),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,08-04-2017 (14 Weeks),No,No,$795 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,10-05-2017 (6 Weeks),No,No,$1688 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Male,08-15-2017 (13 Weeks),No,No,$699 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Male,08-21-2017 (12 Weeks),No,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Bernese Mountain Dog,Female,10-02-2017 (6 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Male,11-30-2016 (11 Months),Yes,Yes,$1250 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Bernese Mountain Dog,Male,08-21-2017 (12 Weeks),No,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Bernese Mountain Dog,Female,09-19-2017 (8 Weeks),No,No,$1500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,10-20-2017 (3 Weeks),No,No,$1800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,10-17-2017 (4 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,10-17-2017 (4 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,09-04-2017 (10 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Bernese Mountain Dog,Female,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,08-15-2017 (13 Weeks),No,No,$699 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
