page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Boxer,Female,07-02-2017 (4 Months),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Boxer,Female,11-01-2017 (15 Days),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,08-21-2017 (12 Weeks),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee, Pedigree"
Boxer,Female,06-16-2017 (5 Months),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,08-17-2017 (13 Weeks),No,No,$950 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,10-10-2017 (5 Weeks),No,No,$1000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Boxer,Female,08-14-2017 (13 Weeks),No,No,$650 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Male,09-04-2017 (10 Weeks),Yes,No,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Female,06-09-2017 (5 Months),Yes,No,$599 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,10-04-2017 (6 Weeks),No,No,$750 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Boxer,Female,11-01-2017 (15 Days),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,09-01-2017 (10 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Male,09-04-2017 (10 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,08-25-2017 (11 Weeks),Yes,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
