page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Chihuahua,Female,10-10-2017 (5 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Chihuahua,Female,09-21-2017 (8 Weeks),No,No,$350 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
Chihuahua,Male,09-28-2017 (7 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Chihuahua,Male,06-26-2017 (4 Months),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Chihuahua,Male,07-18-2017 (17 Weeks),No,No,$550 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Chihuahua,Male,09-01-2016 (14 Months),No,No,$300 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Pedigree"
Chihuahua,Female,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Veterinarian examination, Health guarantee, Pedigree"
Chihuahua,Male,09-22-2017 (7 Weeks),No,No,$800 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Chihuahua,Male,09-13-2017 (9 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Chihuahua,Male,07-26-2017 (16 Weeks),No,No,$300 USD Buyer tips,Not available,
Chihuahua,Male,09-22-2017 (7 Weeks),No,No,$300 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination"
Chihuahua,Female,05-26-2017 (5 Months),Yes,No,$1850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Chihuahua,Male,09-26-2017 (7 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Travel crate"
Chihuahua,Male,06-06-2017 (5 Months),No,No,$375 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Chihuahua,Male,06-23-2017 (4 Months),No,No,$250 USD Buyer tips,Select Areas,
Chihuahua,Female,09-01-2017 (10 Weeks),No,No,$1150 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Chihuahua,Male,08-28-2017 (11 Weeks),No,No,$650 USD Buyer tips,Select Areas,"Current vaccinations, Health guarantee"
Chihuahua,Female,10-03-2017 (6 Weeks),Yes,No,$2500 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
