page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Dachshund,Male,08-03-2017 (15 Weeks),No,No,$300 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Dachshund,Male,10-18-2017 (4 Weeks),No,No,$700 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Dachshund,Female,09-13-2017 (9 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
Dachshund,Female,08-21-2017 (12 Weeks),No,No,$750 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Dachshund,Female,09-25-2017 (7 Weeks),No,No,$400 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination"
Dachshund,Female,10-21-2017 (3 Weeks),No,No,$600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Dachshund,Male,10-13-2017 (4 Weeks),No,No,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Dachshund,Male,10-29-2015 (2 Years),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Pedigree"
Dachshund,Male,09-27-2011 (6 Years),Yes,Yes,$900 USD Buyer tips,Worldwide,"Registered/registerable, Pedigree"
Dachshund,Female,09-21-2017 (8 Weeks),No,No,$450 USD Buyer tips,Not available,Current vaccinations
Dachshund,Female,09-22-2017 (7 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Dachshund,Male,09-17-2017 (8 Weeks),No,No,$800 USD Buyer tips,United States,Registered/registerable
Dachshund,Male,10-25-2017 (3 Weeks),Yes,No,$950 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Dachshund,Male,10-22-2017 (3 Weeks),No,No,$800 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Dachshund,Male,06-10-2017 (5 Months),No,No,$650 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Dachshund,Male,09-01-2017 (10 Weeks),No,No,$800 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Dachshund,Male,10-05-2017 (6 Weeks),No,No,$600 USD Buyer tips,Worldwide,Registered/registerable
