page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
French Bulldog,Female,10-18-2017 (4 Weeks),No,No,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
French Bulldog,Female,02-24-2014 (3 Years),No,No,$4000 USD Buyer tips,Worldwide,
French Bulldog,Male,08-22-2017 (12 Weeks),No,No,$1950 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
French Bulldog,Female,10-16-2017 (4 Weeks),No,No,$4200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
French Bulldog,Female,09-24-2017 (7 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
French Bulldog,Female,08-01-2017 (15 Weeks),Yes,Yes,$1600 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Male,07-31-2017 (15 Weeks),No,No,$1700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Male,12-11-2016 (11 Months),Yes,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Male,10-18-2017 (4 Weeks),No,No,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
French Bulldog,Female,06-15-2017 (5 Months),No,No,$4000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,N/A,07-17-2017 (4 Months),No,No,$1150 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Travel crate"
French Bulldog,Male,09-01-2017 (10 Weeks),Yes,No,$2500 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
French Bulldog,Female,08-21-2017 (12 Weeks),No,No,$2200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Female,10-07-2013 (4 Years),Yes,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
French Bulldog,Male,06-29-2017 (4 Months),No,No,$3500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Female,08-31-2017 (11 Weeks),No,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Female,09-04-2017 (10 Weeks),Yes,No,$2500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Male,05-23-2017 (5 Months),No,No,$3000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Male,09-30-2017 (6 Weeks),No,No,$3299 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
French Bulldog,Male,07-13-2017 (4 Months),No,No,$2000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee"
French Bulldog,Female,08-25-2017 (11 Weeks),Yes,No,$2300 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Female,04-27-2017 (6 Months),Yes,No,$3500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Male,09-09-2017 (9 Weeks),No,No,$1800 USD Buyer tips,Worldwide,Current vaccinations
French Bulldog,Female,08-24-2017 (12 Weeks),No,No,$3500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Male,08-19-2017 (12 Weeks),No,No,$4500 USD Buyer tips,Worldwide,
French Bulldog,Female,10-18-2017 (4 Weeks),Yes,No,$4200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
French Bulldog,Male,09-11-2017 (9 Weeks),No,No,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
French Bulldog,Female,09-21-2017 (8 Weeks),No,No,$1250 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
French Bulldog,Male,03-01-2017 (8 Months),No,No,$1499 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Male,09-09-2017 (9 Weeks),No,No,$2100 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Travel crate"
French Bulldog,Female,08-04-2017 (14 Weeks),No,No,$2000 USD Buyer tips,Worldwide,"Current vaccinations, Health guarantee"
French Bulldog,Male,07-17-2017 (4 Months),Yes,No,$2500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Male,08-07-2017 (14 Weeks),Yes,No,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
French Bulldog,Male,04-24-2017 (6 Months),No,No,$2899 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Female,06-21-2017 (4 Months),No,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Male,08-21-2017 (12 Weeks),No,No,$2800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
French Bulldog,Female,08-13-2017 (13 Weeks),Yes,No,$2300 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Female,07-26-2017 (16 Weeks),No,No,$1400 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Male,10-01-2017 (6 Weeks),No,No,$1800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
French Bulldog,Female,09-22-2017 (7 Weeks),Yes,Yes,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Male,08-22-2017 (12 Weeks),No,No,$1950 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
French Bulldog,Male,08-22-2017 (12 Weeks),No,No,$3000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Female,06-19-2017 (4 Months),No,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Female,09-09-2017 (9 Weeks),No,No,$3200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Female,05-12-2017 (6 Months),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
French Bulldog,Male,06-16-2017 (5 Months),No,No,$3000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
French Bulldog,Male,09-01-2017 (10 Weeks),Yes,No,$2250 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
French Bulldog,Female,07-15-2016 (16 Months),No,No,$1000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination"
French Bulldog,Male,11-14-2016 (12 Months),No,No,$2500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate, Pedigree"
French Bulldog,Male,08-15-2017 (13 Weeks),No,No,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Male,07-07-2017 (4 Months),Yes,Yes,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Male,09-21-2017 (8 Weeks),No,No,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Female,09-09-2017 (9 Weeks),No,No,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
French Bulldog,Male,09-11-2017 (9 Weeks),Yes,Yes,$2100 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Female,09-09-2017 (9 Weeks),No,No,$3500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
French Bulldog,Male,09-19-2017 (8 Weeks),No,No,$9500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health certificate, Pedigree"
French Bulldog,Female,07-02-2010 (7 Years),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
French Bulldog,Female,10-28-2017 (19 Days),Yes,No,$2300 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
French Bulldog,Male,10-21-2017 (3 Weeks),Yes,Yes,$2500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Male,09-02-2017 (10 Weeks),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
French Bulldog,Male,07-29-2017 (15 Weeks),Yes,No,$2500 USD (shipping included!) Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Travel crate"
French Bulldog,Male,08-14-2017 (13 Weeks),No,No,$1500 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Female,05-11-2017 (6 Months),Yes,Yes,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Female,04-14-2016 (19 Months),No,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
French Bulldog,Female,09-26-2017 (7 Weeks),Yes,No,$3500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Male,09-21-2017 (8 Weeks),Yes,Yes,$2900 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
French Bulldog,Female,08-31-2017 (11 Weeks),No,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Male,09-14-2017 (9 Weeks),No,No,$3500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Male,09-28-2017 (7 Weeks),Yes,No,$1700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,N/A,06-26-2017 (4 Months),No,No,$7500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Male,10-23-2017 (3 Weeks),Yes,No,$2500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Male,09-11-2017 (9 Weeks),No,No,$2400 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Female,09-26-2017 (7 Weeks),No,No,$3000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination"
French Bulldog,Female,04-27-2017 (6 Months),Yes,No,$3500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Female,07-15-2017 (4 Months),No,No,$3200 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Pedigree, Travel crate"
French Bulldog,Male,09-02-2017 (10 Weeks),No,No,$3000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Female,03-13-2017 (8 Months),Yes,Yes,$4800 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
French Bulldog,Female,09-21-2017 (8 Weeks),No,No,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
French Bulldog,Female,12-12-2016 (11 Months),No,No,$0 USD Buyer tips,Worldwide,
French Bulldog,Female,10-30-2017 (17 Days),No,No,$3000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Male,09-26-2017 (7 Weeks),Yes,No,$3500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
French Bulldog,Female,08-15-2017 (13 Weeks),Yes,No,$3000 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
