page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
German Shepherd Dog,Female,06-30-2017 (4 Months),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
German Shepherd Dog,Female,08-21-2017 (12 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
German Shepherd Dog,Male,02-22-2017 (8 Months),Yes,Yes,$0 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
German Shepherd Dog,Female,09-17-2017 (8 Weeks),No,No,$250 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health certificate"
German Shepherd Dog,Male,08-31-2017 (11 Weeks),No,No,$350 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
German Shepherd Dog,Male,09-13-2017 (9 Weeks),Yes,Yes,$800 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
German Shepherd Dog,Male,11-11-2017 (5 Days),Yes,No,$850 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Pedigree"
German Shepherd Dog,Male,08-05-2017 (14 Weeks),Yes,No,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
German Shepherd Dog,Male,08-16-2017 (13 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
German Shepherd Dog,Male,09-21-2017 (8 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
German Shepherd Dog,Male,08-26-2017 (11 Weeks),Yes,Yes,$1250 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
German Shepherd Dog,Female,11-25-2017 (Unborn),Yes,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
German Shepherd Dog,Male,09-30-2017 (6 Weeks),Yes,Yes,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
German Shepherd Dog,N/A,01-05-2018 (Unborn),Yes,Yes,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
German Shepherd Dog,Female,07-13-2017 (4 Months),Yes,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee"
German Shepherd Dog,Female,05-20-2014 (3 Years),No,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
