page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Golden Retriever,Female,10-12-2017 (5 Weeks),Yes,No,$1500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Golden Retriever,Male,10-21-2017 (3 Weeks),No,No,$950 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination"
Golden Retriever,Male,09-28-2017 (7 Weeks),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Golden Retriever,Male,10-13-2017 (4 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Golden Retriever,Male,09-13-2017 (9 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Golden Retriever,Female,12-01-2013 (3 Years),Yes,Yes,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Golden Retriever,Male,10-06-2017 (5 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Golden Retriever,Female,11-05-2017 (11 Days),No,No,$1400 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Golden Retriever,Male,11-19-2017 (Unborn),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Golden Retriever,Female,07-26-2017 (16 Weeks),No,No,$750 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Golden Retriever,Female,10-09-2017 (5 Weeks),No,No,$2000 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination"
Golden Retriever,Male,08-20-2017 (12 Weeks),Yes,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Golden Retriever,Male,09-13-2017 (9 Weeks),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
