page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Great Dane,Female,10-24-2017 (3 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Great Dane,Female,10-01-2017 (6 Weeks),No,No,$1800 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Female,06-02-2017 (5 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,09-29-2017 (6 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Female,09-06-2017 (10 Weeks),Yes,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Male,09-21-2017 (8 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Female,10-13-2017 (4 Weeks),No,No,$1200 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination"
Great Dane,Male,10-18-2017 (4 Weeks),No,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Pedigree"
Great Dane,Female,09-24-2017 (7 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Male,07-19-2017 (17 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,06-28-2017 (4 Months),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Great Dane,Male,11-17-2016 (11 Months),No,No,$1500 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Great Dane,Male,09-20-2017 (8 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Great Dane,Female,07-28-2017 (15 Weeks),Yes,Yes,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Female,10-31-2017 (16 Days),No,No,$950 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Female,06-19-2017 (4 Months),Yes,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Male,09-19-2017 (8 Weeks),No,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Great Dane,Male,10-19-2017 (4 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,08-28-2017 (11 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Great Dane,Male,03-31-2016 (19 Months),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Female,07-27-2017 (16 Weeks),Yes,No,$250 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination"
Great Dane,Male,11-04-2017 (12 Days),No,No,$800 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Female,09-17-2017 (8 Weeks),Yes,Yes,$700 USD Buyer tips,United States,Current vaccinations
Great Dane,N/A,09-08-2017 (9 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,10-21-2017 (3 Weeks),Yes,Yes,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Female,10-15-2017 (4 Weeks),Yes,Yes,$6000 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Great Dane,Male,10-02-2017 (6 Weeks),Yes,Yes,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,10-24-2017 (3 Weeks),No,No,$1100 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,10-21-2017 (3 Weeks),Yes,Yes,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Male,10-13-2017 (4 Weeks),No,No,$1800 USD Buyer tips,Worldwide,
Great Dane,Male,11-04-2017 (12 Days),No,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Male,05-17-2017 (6 Months),Yes,No,$2500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,08-15-2017 (13 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Female,10-31-2017 (16 Days),No,No,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,08-12-2017 (13 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Male,09-27-2017 (7 Weeks),Yes,No,$2400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Great Dane,Male,10-09-2017 (5 Weeks),No,No,$900 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Great Dane,Male,09-11-2017 (9 Weeks),Yes,No,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Female,11-13-2017 (3 Days),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Female,10-02-2017 (6 Weeks),Yes,Yes,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,10-12-2017 (5 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,10-10-2017 (5 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Male,09-22-2017 (7 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
