page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Labrador Retriever,Male,10-07-2017 (5 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Labrador Retriever,Male,09-20-2017 (8 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Labrador Retriever,Male,06-03-2017 (5 Months),Yes,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Labrador Retriever,Female,11-12-2017 (4 Days),Yes,No,$1100 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Labrador Retriever,N/A,04-07-2017 (7 Months),No,No,$300 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Labrador Retriever,Male,09-28-2017 (7 Weeks),No,No,$985 USD Buyer tips,Worldwide,"Registered/registerable, Pedigree"
Labrador Retriever,Female,09-18-2017 (8 Weeks),No,No,$700 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Labrador Retriever,Male,09-28-2017 (7 Weeks),No,No,$600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Labrador Retriever,Male,09-09-2017 (9 Weeks),No,No,$750 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Labrador Retriever,Female,09-20-2017 (8 Weeks),Yes,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Travel crate"
Labrador Retriever,Male,07-11-2017 (4 Months),No,No,$299 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Labrador Retriever,Female,10-27-2017 (20 Days),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Labrador Retriever,Male,08-02-2017 (15 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Labrador Retriever,Male,08-28-2017 (11 Weeks),No,No,$1000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Labrador Retriever,Female,06-09-2017 (5 Months),Yes,Yes,$654 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Labrador Retriever,Male,09-22-2017 (7 Weeks),No,No,$500 USD Buyer tips,Worldwide,Registered/registerable
Labrador Retriever,Male,06-01-2017 (5 Months),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Travel crate"
Labrador Retriever,Female,04-12-2017 (7 Months),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Labrador Retriever,Male,10-17-2017 (4 Weeks),Yes,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Labrador Retriever,Male,09-22-2017 (7 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Labrador Retriever,Female,07-29-2017 (15 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Labrador Retriever,Female,07-08-2017 (4 Months),No,No,$1200 USD Buyer tips,Worldwide,"Current vaccinations, Health guarantee"
Labrador Retriever,N/A,10-20-2017 (3 Weeks),Yes,No,$1850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Labrador Retriever,Female,08-22-2017 (12 Weeks),Yes,No,$2200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Labrador Retriever,Male,09-10-2017 (9 Weeks),No,No,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Labrador Retriever,Female,10-25-2017 (3 Weeks),Yes,No,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Labrador Retriever,Female,12-15-2016 (11 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Labrador Retriever,Female,09-07-2017 (10 Weeks),Yes,Yes,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Labrador Retriever,Male,10-18-2017 (4 Weeks),Yes,Yes,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Labrador Retriever,Male,08-23-2017 (12 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
