page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Standard Poodle,Male,05-19-2017 (5 Months),No,No,$1895 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Standard Poodle,Female,09-19-2017 (8 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Female,11-05-2017 (11 Days),No,No,$750 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,09-25-2015 (2 Years),Yes,Yes,$3000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Standard Poodle,Female,09-27-2017 (7 Weeks),No,No,$950 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,10-18-2017 (4 Weeks),No,No,$975 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Male,08-17-2017 (13 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,09-27-2017 (7 Weeks),No,No,$950 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,10-15-2017 (4 Weeks),No,No,$1150 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Female,10-08-2017 (5 Weeks),No,No,$1800 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Health guarantee"
Standard Poodle,Male,10-16-2017 (4 Weeks),No,No,$900 USD Buyer tips,Worldwide,"Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,06-06-2017 (5 Months),No,No,$1600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,10-23-2017 (3 Weeks),Yes,Yes,$1400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Female,08-23-2017 (12 Weeks),No,No,$750 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,09-11-2017 (9 Weeks),No,No,$1000 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Female,08-20-2017 (12 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,08-22-2017 (12 Weeks),Yes,No,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Standard Poodle,Male,09-11-2017 (9 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,11-17-2017 (Unborn),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,08-12-2017 (13 Weeks),No,No,$600 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Male,10-26-2017 (3 Weeks),No,No,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,08-18-2017 (12 Weeks),No,No,$1500 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Standard Poodle,Male,08-20-2017 (12 Weeks),Yes,No,$750 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,06-19-2017 (4 Months),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Standard Poodle,Female,08-03-2017 (15 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Standard Poodle,Female,08-07-2017 (14 Weeks),Yes,No,$2200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Standard Poodle,Male,07-15-2017 (4 Months),No,No,$500 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination"
Standard Poodle,Male,03-21-2017 (7 Months),No,No,$450 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,09-17-2017 (8 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Standard Poodle,Male,08-26-2017 (11 Weeks),No,No,$400 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health certificate"
Standard Poodle,Male,09-27-2017 (7 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Standard Poodle,Male,09-24-2017 (7 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Standard Poodle,Male,11-04-2017 (12 Days),No,No,$850 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Male,10-21-2017 (3 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Standard Poodle,Female,10-07-2017 (5 Weeks),No,No,$1300 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,10-23-2017 (3 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Standard Poodle,Male,02-12-2018 (Unborn),No,No,$2000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Standard Poodle,Male,05-24-2017 (5 Months),No,No,$500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Male,10-10-2017 (5 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Standard Poodle,Female,08-05-2017 (14 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,11-04-2017 (12 Days),No,No,$850 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Female,09-10-2017 (9 Weeks),No,No,$700 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,06-20-2017 (4 Months),Yes,Yes,$2500 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Standard Poodle,Male,10-19-2017 (4 Weeks),No,No,$1300 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Standard Poodle,Female,08-21-2017 (12 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Female,10-30-2017 (17 Days),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Standard Poodle,Male,10-03-2017 (6 Weeks),No,No,$1700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,N/A,08-05-2017 (14 Weeks),No,No,$1495 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Standard Poodle,Female,08-19-2017 (12 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Female,09-24-2017 (7 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Standard Poodle,Male,08-19-2017 (12 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,04-10-2017 (7 Months),Yes,No,$500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Female,05-11-2013 (4 Years),Yes,No,$1100 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Standard Poodle,Female,10-07-2017 (5 Weeks),No,No,$1300 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,06-08-2017 (5 Months),No,No,$1695 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Standard Poodle,Male,08-26-2017 (11 Weeks),No,No,$600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Travel crate"
Standard Poodle,Female,10-24-2017 (3 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Travel crate"
Standard Poodle,Female,09-10-2017 (9 Weeks),No,No,$1300 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Standard Poodle,N/A,10-08-2017 (5 Weeks),No,No,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Standard Poodle,Male,11-05-2017 (11 Days),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,06-18-2017 (4 Months),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Female,10-18-2017 (4 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Standard Poodle,Male,10-15-2017 (4 Weeks),Yes,No,$1600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,10-16-2017 (4 Weeks),Yes,Yes,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,08-18-2017 (12 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
