page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Shih Tzu,Female,10-24-2017 (3 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Shih Tzu,Female,09-17-2017 (8 Weeks),No,No,$600 USD Buyer tips,Not available,Current vaccinations
Shih Tzu,Male,07-11-2016 (16 Months),Yes,Yes,$1600 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree, Travel crate"
Shih Tzu,Female,04-05-2017 (7 Months),No,No,$700 USD Buyer tips,United States,
Shih Tzu,Male,10-06-2017 (5 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Shih Tzu,Male,09-04-2017 (10 Weeks),No,No,$799 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Shih Tzu,Male,02-03-2017 (9 Months),No,No,$400 USD Buyer tips,Not available,Travel crate
Shih Tzu,Female,09-26-2017 (7 Weeks),No,No,$500 USD Buyer tips,Not available,
Shih Tzu,Male,10-13-2017 (4 Weeks),No,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Male,08-20-2016 (14 Months),No,No,$1000 USD Buyer tips,Not available,"Current vaccinations, Health guarantee"
Shih Tzu,Male,09-07-2017 (10 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Shih Tzu,Male,10-15-2017 (4 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Shih Tzu,Male,06-21-2017 (4 Months),No,No,$800 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health certificate"
Shih Tzu,Male,10-07-2017 (5 Weeks),Yes,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Shih Tzu,Male,09-10-2017 (9 Weeks),No,No,$650 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Shih Tzu,Male,09-10-2017 (9 Weeks),No,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Male,09-25-2017 (7 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Shih Tzu,Male,09-26-2017 (7 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Shih Tzu,Male,10-30-2017 (17 Days),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Male,06-12-2017 (5 Months),Yes,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Shih Tzu,Male,09-10-2017 (9 Weeks),No,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree, Travel crate"
Shih Tzu,Male,07-02-2017 (4 Months),Yes,Yes,$750 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Female,11-02-2017 (14 Days),No,No,$950 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Shih Tzu,Female,09-26-2017 (7 Weeks),No,No,$850 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Shih Tzu,Female,09-12-2017 (9 Weeks),No,No,$1050 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Shih Tzu,Male,05-14-2017 (6 Months),No,No,$1700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Shih Tzu,Male,09-29-2017 (6 Weeks),Yes,No,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Male,12-10-2017 (Unborn),Yes,No,$0 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Shih Tzu,Female,11-05-2017 (11 Days),No,No,$800 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Female,08-07-2017 (14 Weeks),Yes,Yes,$1550 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Male,09-03-2017 (10 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Shih Tzu,Female,09-12-2017 (9 Weeks),Yes,Yes,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Shih Tzu,Female,09-08-2017 (9 Weeks),No,No,$500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Shih Tzu,Male,07-15-2017 (4 Months),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Shih Tzu,Female,09-29-2017 (6 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Shih Tzu,Female,09-19-2017 (8 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Shih Tzu,Male,11-02-2017 (14 Days),No,No,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Male,08-23-2017 (12 Weeks),No,No,$650 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Male,11-07-2017 (9 Days),Yes,No,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Shih Tzu,Male,09-30-2017 (6 Weeks),No,No,$290 USD Buyer tips,United States,Current vaccinations
Shih Tzu,Male,06-07-2017 (5 Months),No,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Male,09-30-2017 (6 Weeks),No,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Shih Tzu,Male,10-01-2017 (6 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Shih Tzu,Female,09-08-2017 (9 Weeks),No,No,$450 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Shih Tzu,Female,09-01-2017 (10 Weeks),No,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Shih Tzu,Male,07-03-2017 (4 Months),No,No,$1000 USD Buyer tips,Worldwide,"Current vaccinations, Health guarantee"
Shih Tzu,Female,09-02-2017 (10 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Shih Tzu,Female,10-07-2017 (5 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Shih Tzu,Male,10-29-2017 (18 Days),No,No,$400 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health guarantee"
Shih Tzu,Male,08-26-2017 (11 Weeks),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Male,11-04-2017 (12 Days),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Shih Tzu,Male,10-24-2017 (3 Weeks),No,No,$599 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Female,09-30-2017 (6 Weeks),No,No,$900 USD Buyer tips,United States,
Shih Tzu,Female,09-30-2017 (6 Weeks),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Shih Tzu,Male,05-12-2017 (6 Months),No,No,$675 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Female,10-01-2017 (6 Weeks),No,No,$800 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Shih Tzu,Male,08-30-2017 (11 Weeks),No,No,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Shih Tzu,Male,09-18-2017 (8 Weeks),No,No,$600 USD Buyer tips,Worldwide,"Current vaccinations, Health guarantee"
Shih Tzu,Female,08-20-2017 (12 Weeks),No,No,$350 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Shih Tzu,Female,09-22-2017 (7 Weeks),No,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
Shih Tzu,Female,09-12-2017 (9 Weeks),No,No,$1050 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Shih Tzu,Male,07-21-2017 (16 Weeks),Yes,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Shih Tzu,Female,01-23-2017 (9 Months),Yes,Yes,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
