page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Tibetan Mastiff,Male,01-14-2017 (10 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Female,11-02-2016 (12 Months),No,No,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,N/A,12-03-2017 (Unborn),Yes,No,$3000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Tibetan Mastiff,Male,11-18-2015 (23 Months),No,No,$1250 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Female,01-17-2017 (9 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Male,11-02-2016 (12 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Male,02-23-2015 (2 Years),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Male,01-17-2017 (9 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Female,07-30-2017 (15 Weeks),Yes,Yes,$5000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Tibetan Mastiff,Male,12-06-2017 (Unborn),Yes,Yes,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Tibetan Mastiff,Male,11-13-2016 (12 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Female,01-17-2017 (9 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Male,01-17-2017 (9 Months),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Female,11-02-2016 (12 Months),No,No,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Female,01-17-2017 (9 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Tibetan Mastiff,Male,01-14-2017 (10 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
