page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Yorkshire Terrier,Female,09-01-2017 (10 Weeks),No,No,$1000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Yorkshire Terrier,Female,09-28-2017 (7 Weeks),No,No,$1500 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination"
Yorkshire Terrier,Male,09-27-2017 (7 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Female,10-26-2017 (3 Weeks),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Yorkshire Terrier,Female,09-28-2017 (7 Weeks),Yes,No,$4000 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Male,08-08-2017 (14 Weeks),Yes,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Yorkshire Terrier,Male,09-05-2017 (10 Weeks),No,No,$1200 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Health guarantee"
Yorkshire Terrier,Male,10-11-2016 (13 Months),No,No,$1000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Male,10-01-2017 (6 Weeks),Yes,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Yorkshire Terrier,Male,07-07-2017 (4 Months),No,No,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Female,04-11-2017 (7 Months),Yes,No,$4500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Yorkshire Terrier,Female,03-27-2017 (7 Months),No,No,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Yorkshire Terrier,Female,09-02-2017 (10 Weeks),Yes,No,$3500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Yorkshire Terrier,Female,09-15-2017 (8 Weeks),No,No,$750 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination"
Yorkshire Terrier,Male,09-27-2017 (7 Weeks),No,No,$1300 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Yorkshire Terrier,Male,09-09-2017 (9 Weeks),No,No,$550 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Yorkshire Terrier,Male,09-30-2017 (6 Weeks),No,No,$1400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Male,05-17-2017 (6 Months),No,No,$795 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Yorkshire Terrier,Female,09-11-2017 (9 Weeks),No,No,$3500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Female,10-09-2017 (5 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Female,04-02-2017 (7 Months),No,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Yorkshire Terrier,Male,08-16-2017 (13 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Yorkshire Terrier,Male,09-29-2017 (6 Weeks),No,No,$750 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Female,09-01-2017 (10 Weeks),Yes,No,$3500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Yorkshire Terrier,Female,09-26-2017 (7 Weeks),No,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Yorkshire Terrier,Female,07-12-2016 (16 Months),No,No,$1200 USD Buyer tips,Not available,"Current vaccinations, Travel crate"
Yorkshire Terrier,Male,07-29-2017 (15 Weeks),Yes,Yes,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Yorkshire Terrier,Female,03-08-2017 (8 Months),No,No,$800 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Travel crate"
Yorkshire Terrier,Male,10-17-2017 (4 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Yorkshire Terrier,Male,11-04-2017 (12 Days),No,No,$1100 USD Buyer tips,Not available,"Current vaccinations, Health guarantee"
Yorkshire Terrier,Female,09-01-2017 (10 Weeks),No,No,$1000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Yorkshire Terrier,Female,08-29-2017 (11 Weeks),No,No,$1850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Yorkshire Terrier,Male,09-14-2017 (9 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Yorkshire Terrier,Male,09-18-2017 (8 Weeks),No,No,$1200 USD Buyer tips,Not available,Registered/registerable
Yorkshire Terrier,Male,07-01-2017 (4 Months),No,No,$800 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Female,07-29-2017 (15 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Yorkshire Terrier,Female,08-22-2017 (12 Weeks),No,No,$550 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Yorkshire Terrier,Female,10-17-2017 (4 Weeks),No,No,$2000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Yorkshire Terrier,Female,10-23-2017 (3 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Yorkshire Terrier,Female,08-27-2017 (11 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Yorkshire Terrier,Female,11-12-2017 (4 Days),No,No,$450 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Yorkshire Terrier,Male,09-14-2017 (9 Weeks),No,No,$800 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination"
Yorkshire Terrier,Female,08-08-2017 (14 Weeks),Yes,No,$1600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Yorkshire Terrier,Female,10-10-2017 (5 Weeks),No,Yes,$1200 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Yorkshire Terrier,Male,02-16-2017 (8 Months),Yes,Yes,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Male,08-12-2017 (13 Weeks),No,No,$750 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Yorkshire Terrier,Male,09-16-2017 (8 Weeks),No,No,$950 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Yorkshire Terrier,Female,09-06-2017 (10 Weeks),No,No,$1250 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Yorkshire Terrier,Male,09-03-2017 (10 Weeks),No,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Yorkshire Terrier,Female,09-11-2017 (9 Weeks),No,No,$600 USD Buyer tips,Select Areas,Veterinarian examination
Yorkshire Terrier,Male,10-16-2017 (4 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Male,09-19-2017 (8 Weeks),No,No,$1795 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Yorkshire Terrier,Male,03-03-2017 (8 Months),Yes,No,$4000 USD Buyer tips,Worldwide,"Current vaccinations, Health guarantee"
Yorkshire Terrier,Male,10-06-2017 (5 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Male,02-11-2017 (9 Months),Yes,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Yorkshire Terrier,Female,09-18-2017 (8 Weeks),Yes,No,$3500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Yorkshire Terrier,Male,08-10-2017 (14 Weeks),No,No,$400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Yorkshire Terrier,Male,10-01-2017 (6 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Yorkshire Terrier,Female,07-29-2017 (15 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Yorkshire Terrier,Male,10-20-2017 (3 Weeks),No,No,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
