Samoyed,Male,112,Yes,No,2500,1,1,1,1,1,1,1
Chow Chow,Female,0,Yes,No,600,1,1,1,1,1,0,0
Boxer,Male,31,No,No,850,0,0,0,0,0,0,0
Chow Chow,Female,325,No,No,600,0,0,0,0,0,0,0
Akita,Female,37,Yes,No,1000,1,1,1,0,1,0,0
Great Dane,Male,61,No,No,800,1,1,1,0,1,0,0
Bernese Mountain Dog,Female,75,No,No,1000,1,1,1,0,1,0,0
German Shepherd Dog,Female,132,No,No,600,1,1,0,0,0,0,0
Golden Retriever,Male,1803,Yes,No,1600,1,1,1,1,1,1,0
French Bulldog,Female,72,Yes,Yes,2700,1,1,1,1,1,1,1
Yorkshire Terrier,Male,87,Yes,No,1750,1,1,1,1,1,1,0
Chihuahua,Male,43,No,No,895,1,1,1,1,1,0,1
Great Dane,Male,51,Yes,Yes,2500,1,1,0,0,1,1,0
German Shepherd Dog,Female,72,No,Yes,1200,1,1,1,0,1,1,0
Golden Retriever,Male,88,Yes,No,2000,1,1,1,1,1,1,1
Dachshund,Female,1169,No,No,1200,1,1,1,1,1,1,0
Standard Poodle,Male,55,No,No,2000,1,1,1,1,1,0,0
Shih Tzu,Male,93,No,No,1800,0,0,0,0,0,0,0
Great Dane,Male,93,No,No,600,1,1,1,1,0,0,0
Chihuahua,Male,146,No,No,250,0,0,0,0,0,0,0
Standard Poodle,Female,87,No,No,1500,1,1,1,0,1,0,0
Akita,Male,15,Yes,Yes,1800,1,1,1,1,1,1,0
Siberian Husky,Female,80,No,No,500,0,0,0,0,0,0,0
Standard Poodle,Male,22,No,No,750,1,1,1,0,0,1,0
Great Dane,Female,105,Yes,No,500,1,1,1,0,1,0,0
Bernese Mountain Dog,Female,110,Yes,Yes,1900,1,1,1,1,1,0,0
Chihuahua,Male,42,No,No,400,1,1,1,0,1,0,0
Great Dane,Female,112,Yes,No,250,0,1,1,0,0,0,0
Samoyed,Female,30,Yes,No,2000,1,1,1,1,0,0,0
Bernese Mountain Dog,Male,71,No,No,1200,1,1,1,0,1,0,1
Standard Poodle,Male,240,No,No,450,1,1,1,1,1,0,0
Chow Chow,Male,33,No,No,650,0,1,1,1,1,0,0
Yorkshire Terrier,Female,49,No,No,1500,1,1,1,0,0,0,0
Bernese Mountain Dog,Female,9,No,No,1500,1,1,0,0,0,1,0
Standard Poodle,Male,76,No,No,700,0,1,1,1,1,0,0
Rottweiler,Male,8,No,No,1500,1,0,0,0,0,1,0
Yorkshire Terrier,Male,105,Yes,No,1200,1,0,0,0,0,0,0
Dachshund,Female,61,No,No,1200,1,1,0,0,1,0,0
Golden Retriever,Male,47,Yes,No,1000,1,1,0,0,1,0,0
Standard Poodle,Male,11,No,No,1000,1,1,1,1,1,1,0
Dachshund,Male,85,No,No,1200,1,1,1,1,1,1,1
Standard Poodle,Female,67,No,No,1300,1,1,0,0,1,0,0
Dachshund,Male,193,No,No,700,1,1,0,0,1,0,0
Great Dane,Female,48,No,No,1200,1,1,1,1,1,0,0
Shih Tzu,Female,36,Yes,No,1800,1,1,1,1,1,0,1
Standard Poodle,Male,0,Yes,No,1200,1,1,1,1,1,1,0
Labrador Retriever,Female,90,Yes,No,1000,1,1,0,0,1,1,0
Rottweiler,Male,86,Yes,No,850,1,1,1,1,1,1,0
Dachshund,Male,25,No,No,800,0,1,1,0,1,0,0
Golden Retriever,Male,38,No,No,900,1,1,1,0,1,0,0
French Bulldog,Male,76,No,No,2700,0,1,1,0,1,0,1
Chihuahua,Male,78,No,No,400,0,1,1,0,0,0,0
Beagle,Male,79,No,No,400,1,1,1,1,0,0,0
Standard Poodle,Female,50,No,No,950,0,1,1,1,1,0,0
Shih Tzu,Female,55,No,No,600,1,1,0,0,1,0,0
Tibetan Mastiff,Male,0,Yes,Yes,3200,1,1,1,1,1,1,1
Standard Poodle,Male,65,No,No,800,1,1,1,1,0,0,0
Chihuahua,Female,36,Yes,No,800,1,1,1,0,1,0,0
Labrador Retriever,Female,35,No,No,800,1,1,1,0,0,0,0
Samoyed,Female,30,Yes,No,2000,1,1,1,1,0,0,0
Dachshund,Male,54,No,No,300,1,1,1,0,0,0,0
Labrador Retriever,Female,71,No,No,400,0,1,0,0,0,0,0
Samoyed,Female,194,Yes,Yes,2500,1,1,1,1,1,1,1
Beagle,Female,56,Yes,No,900,1,1,1,1,1,0,1
Rottweiler,Male,155,Yes,No,1500,1,1,1,1,1,1,0
Bernese Mountain Dog,Male,87,No,No,950,1,1,1,1,0,0,0
German Shepherd Dog,Male,35,No,No,750,1,1,1,0,0,1,0
Labrador Retriever,Female,50,No,No,1000,1,1,1,0,0,0,0
Labrador Retriever,Female,46,Yes,No,650,1,1,0,0,0,1,0
Rottweiler,Male,37,No,No,800,0,0,0,0,0,0,0
Shih Tzu,Male,453,No,No,1000,0,1,0,0,1,0,0
Siberian Husky,Male,87,No,No,825,1,1,1,1,1,0,0
French Bulldog,Male,101,Yes,No,2500,1,1,0,0,1,0,0
Siberian Husky,Female,22,No,No,600,1,1,0,0,1,1,0
German Shepherd Dog,Female,96,Yes,No,1100,1,1,1,1,1,1,0
Boxer,Female,19,No,No,850,1,1,1,1,1,1,0
Beagle,Female,67,No,No,325,1,0,0,0,0,0,0
Labrador Retriever,Female,22,Yes,No,1800,1,1,1,0,1,0,0
Yorkshire Terrier,Female,110,No,No,800,1,1,1,0,1,0,0
German Shepherd Dog,Female,43,Yes,No,800,1,1,1,0,1,1,0
Boxer,Female,0,Yes,No,1000,1,1,1,1,1,0,0
Standard Poodle,Female,11,No,No,750,1,1,1,1,1,1,0
Rottweiler,Female,57,Yes,No,1200,1,1,1,0,1,1,0
Chihuahua,Male,66,No,No,650,1,1,1,1,0,0,0
Shih Tzu,Male,59,No,No,600,0,1,0,0,1,0,0
Boxer,Female,56,No,No,1200,1,1,1,0,1,0,0
Great Dane,Female,39,No,No,1200,1,1,1,1,1,0,0
Chihuahua,Female,16,No,No,775,1,1,1,1,1,0,0
Samoyed,Male,214,Yes,Yes,2500,1,1,1,1,1,1,1
Chow Chow,Female,33,No,No,650,0,1,1,1,1,0,0
Shih Tzu,Male,160,No,No,500,1,0,0,0,0,0,0
French Bulldog,Male,46,No,No,1800,1,1,1,0,1,1,0
Labrador Retriever,?,25,Yes,Yes,1500,1,1,1,1,1,1,0
Bernese Mountain Dog,Female,64,Yes,No,1000,1,0,1,1,0,0,0
Chow Chow,Male,35,No,No,1000,1,1,1,1,0,1,0
Golden Retriever,Female,89,No,No,700,1,1,1,1,1,1,0
Beagle,Male,48,No,No,1500,1,1,0,1,1,0,0
Boxer,Male,33,No,No,800,1,1,1,0,0,0,0
Great Dane,Male,127,Yes,No,1300,1,1,1,0,1,1,0
Shih Tzu,Male,188,No,No,675,1,1,0,0,1,0,0
Shih Tzu,Female,78,No,No,1300,1,1,1,1,1,1,0
Golden Retriever,Male,38,Yes,No,1500,1,1,0,0,1,0,0
Beagle,Female,376,Yes,No,1200,0,1,1,1,1,1,1
Standard Poodle,Male,27,Yes,Yes,1250,1,1,1,1,1,1,0
Rottweiler,Female,316,No,No,600,0,0,0,0,0,0,0
Akita,Female,27,Yes,Yes,2000,1,1,1,1,1,1,0
Akita,Male,45,No,No,1200,1,1,0,0,1,0,0
German Shepherd Dog,Female,76,No,No,195,0,1,1,1,0,0,1
Golden Retriever,Female,85,No,No,900,1,0,0,0,0,1,0
Akita,Female,29,No,No,800,1,1,0,1,1,0,0
Yorkshire Terrier,Female,420,No,No,3500,1,1,1,0,0,1,0
Labrador Retriever,Female,54,No,No,400,1,1,1,1,0,0,0
Beagle,Female,81,No,No,650,0,1,1,1,1,0,0
Yorkshire Terrier,Male,80,No,No,2000,1,1,1,0,1,0,0
Rottweiler,Female,74,Yes,Yes,1000,1,1,1,1,1,1,0
Akita,Female,29,No,No,1000,1,1,1,1,1,1,0
Dachshund,Male,26,No,No,1300,1,1,1,1,1,1,1
Bernese Mountain Dog,Male,66,Yes,No,1500,1,1,0,0,1,0,0
Great Dane,Male,37,No,No,600,1,1,1,0,0,0,0
German Shepherd Dog,Male,36,No,No,750,1,1,1,0,1,0,0
Siberian Husky,Female,46,No,No,585,1,1,1,1,0,0,0
Labrador Retriever,Male,35,No,No,800,1,1,1,0,0,0,0
Yorkshire Terrier,Male,40,No,No,800,1,1,0,0,0,0,0
Tibetan Mastiff,Male,306,No,No,1000,1,1,1,1,1,1,1
Beagle,Male,76,Yes,No,650,1,1,1,1,1,1,0
Akita,Female,35,No,No,1000,1,1,0,0,0,1,0
Siberian Husky,Female,67,No,No,600,0,1,0,0,0,0,0
Chow Chow,Female,21,Yes,Yes,1200,1,1,1,1,0,0,0
Rottweiler,Male,336,Yes,Yes,1000,1,1,1,0,0,1,0
Chow Chow,Male,66,No,No,1500,1,1,1,1,1,1,1
Bernese Mountain Dog,Male,183,Yes,No,1800,1,1,1,1,1,1,0
Siberian Husky,Male,22,No,No,600,1,1,0,0,1,1,0
Labrador Retriever,Female,39,Yes,No,1000,1,1,1,1,1,0,0
Shih Tzu,Male,74,No,No,1000,1,1,1,0,1,0,0
Yorkshire Terrier,Male,48,No,No,750,1,1,1,1,1,0,0
