breed,heritage,price,,,,with outlier,w/o outlier
11,0,900,,mean,1176.351266,-0.298922939,-0.328768741
9,0,1000,,std dev,924.4899918,-0.190755192,-0.171835427
3,0,1800,,,,0.674586788,1.083631083
8,0,1600,,mean,1109.495825,0.458251293,0.769764456
17,0,800,,std dev,637.2133333,-0.407090687,-0.485702055
3,0,1400,,,,0.241915798,0.455897828
17,0,800,,,,-0.407090687,-0.485702055
14,0,600,,,,-0.623426182,-0.799568682
13,1,850,,,,-0.353006813,-0.407235398
17,0,500,,,,-0.731593929,-0.956501996
20,0,699,,,,-0.516340112,-0.644204702
5,0,625,,,,-0.596384245,-0.760335354
14,0,800,,,,-0.407090687,-0.485702055
16,0,1800,,,,0.674586788,1.083631083
9,0,450,,,,-0.785677803,-1.034968653
1,0,800,,,,-0.407090687,-0.485702055
17,0,1200,,,,0.025580303,0.1420312
5,0,775,,,,-0.434132624,-0.524935383
17,0,600,,,,-0.623426182,-0.799568682
15,1,1900,,,,0.782754536,1.240564397
8,0,3000,,,,1.972599758,2.966830849
5,0,600,,,,-0.623426182,-0.799568682
3,0,699,,,,-0.516340112,-0.644204702
9,0,1500,,,,0.350083546,0.612831142
17,0,1000,,,,-0.190755192,-0.171835427
3,0,1500,,,,0.350083546,0.612831142
4,0,850,,,,-0.353006813,-0.407235398
13,0,1500,,,,0.350083546,0.612831142
7,0,550,,,,-0.677510056,-0.878035339
13,0,800,,,,-0.407090687,-0.485702055
8,1,2800,,,,1.756264263,2.652964221
9,0,1450,,,,0.295999672,0.534364485
9,1,1300,,,,0.133748051,0.298964514
18,0,2000,,,,0.890922283,1.397497711
14,1,900,,,,-0.298922939,-0.328768741
6,0,1200,,,,0.025580303,0.1420312
2,0,2500,,,,1.431761021,2.18216428
20,0,1850,,,,0.728670662,1.16209774
5,0,895,,,,-0.304331327,-0.336615407
4,0,950,,,,-0.244839066,-0.250302084
20,0,850,,,,-0.353006813,-0.407235398
18,0,600,,,,-0.623426182,-0.799568682
3,0,1200,,,,0.025580303,0.1420312
10,0,1200,,,,0.025580303,0.1420312
18,1,950,,,,-0.244839066,-0.250302084
8,0,3500,,,,2.513438496,3.751497418
16,0,1000,,,,-0.190755192,-0.171835427
3,0,699,,,,-0.516340112,-0.644204702
7,0,600,,,,-0.623426182,-0.799568682
13,0,985,,,,-0.206980354,-0.195375424
7,0,700,,,,-0.515258434,-0.642635369
1,0,900,,,,-0.298922939,-0.328768741
4,0,850,,,,-0.353006813,-0.407235398
6,0,850,,,,-0.353006813,-0.407235398
17,0,700,,,,-0.515258434,-0.642635369
6,0,200,,,,-1.056097172,-1.427301938
4,0,800,,,,-0.407090687,-0.485702055
17,1,600,,,,-0.623426182,-0.799568682
12,0,1500,,,,0.350083546,0.612831142
2,0,700,,,,-0.515258434,-0.642635369
18,0,1100,,,,-0.082587444,-0.014902113
18,0,1400,,,,0.241915798,0.455897828
2,0,850,,,,-0.353006813,-0.407235398
7,0,500,,,,-0.731593929,-0.956501996
18,0,1000,,,,-0.190755192,-0.171835427
13,1,1000,,,,-0.190755192,-0.171835427
7,0,1200,,,,0.025580303,0.1420312
10,0,1300,,,,0.133748051,0.298964514
8,0,2500,,,,1.431761021,2.18216428
7,1,1200,,,,0.025580303,0.1420312
12,0,1200,,,,0.025580303,0.1420312
18,0,1800,,,,0.674586788,1.083631083
17,0,1000,,,,-0.190755192,-0.171835427
3,0,2500,,,,1.431761021,2.18216428
20,0,700,,,,-0.515258434,-0.642635369
16,0,900,,,,-0.298922939,-0.328768741
12,1,2750,,,,1.702180389,2.574497565
1,0,600,,,,-0.623426182,-0.799568682
11,0,1200,,,,0.025580303,0.1420312
18,0,1600,,,,0.458251293,0.769764456
5,0,400,,,,-0.839761677,-1.11343531
9,0,1950,,,,0.836838409,1.319031054
17,0,1000,,,,-0.190755192,-0.171835427
13,0,800,,,,-0.407090687,-0.485702055
14,1,950,,,,-0.244839066,-0.250302084
3,1,1400,,,,0.241915798,0.455897828
14,1,950,,,,-0.244839066,-0.250302084
11,0,1600,,,,0.458251293,0.769764456
7,0,700,,,,-0.515258434,-0.642635369
15,0,1500,,,,0.350083546,0.612831142
4,1,1000,,,,-0.190755192,-0.171835427
15,0,1000,,,,-0.190755192,-0.171835427
17,0,1000,,,,-0.190755192,-0.171835427
16,0,1000,,,,-0.190755192,-0.171835427
14,0,1000,,,,-0.190755192,-0.171835427
4,0,650,,,,-0.569342308,-0.721102025
12,0,1500,,,,0.350083546,0.612831142
7,0,775,,,,-0.434132624,-0.524935383
17,0,2500,,,,1.431761021,2.18216428
17,0,800,,,,-0.407090687,-0.485702055
8,0,2200,,,,1.107257778,1.711364339
9,0,575,,,,-0.650468119,-0.838802011
1,0,1200,,,,0.025580303,0.1420312
3,0,1170,,,,-0.006870021,0.094951206
20,0,950,,,,-0.244839066,-0.250302084
16,0,636,,,,-0.584485793,-0.743072689
2,0,500,,,,-0.731593929,-0.956501996
20,1,2000,,,,0.890922283,1.397497711
14,1,1400,,,,0.241915798,0.455897828
20,0,600,,,,-0.623426182,-0.799568682
3,0,990,,,,-0.201571967,-0.187528759
13,0,900,,,,-0.298922939,-0.328768741
11,0,1200,,,,0.025580303,0.1420312
6,0,650,,,,-0.569342308,-0.721102025
8,0,1000,,,,-0.190755192,-0.171835427
6,0,575,,,,-0.650468119,-0.838802011
11,1,800,,,,-0.407090687,-0.485702055
9,0,850,,,,-0.353006813,-0.407235398
20,0,1795,,,,0.669178401,1.075784418
9,0,1200,,,,0.025580303,0.1420312
3,0,1250,,,,0.079664177,0.220497857
16,0,1200,,,,0.025580303,0.1420312
4,0,1500,,,,0.350083546,0.612831142
19,0,1000,,,,-0.190755192,-0.171835427
20,0,1995,,,,0.885513896,1.389651045
16,0,1200,,,,0.025580303,0.1420312
17,0,800,,,,-0.407090687,-0.485702055
3,1,1150,,,,-0.028503571,0.063564544
17,0,700,,,,-0.515258434,-0.642635369
4,0,850,,,,-0.353006813,-0.407235398
17,0,1000,,,,-0.190755192,-0.171835427
20,0,400,,,,-0.839761677,-1.11343531
4,1,1250,,,,0.079664177,0.220497857
10,0,750,,,,-0.461174561,-0.564168712
2,0,700,,,,-0.515258434,-0.642635369
10,0,650,,,,-0.569342308,-0.721102025
